,date,close,open,high,low,volume,keyword
0,2015-11-03,35350.0,35050.0,35800.0,34800.0,419488.0,현대건설
1,2015-11-04,34900.0,35600.0,35700.0,34800.0,399583.0,현대건설
2,2015-11-05,35050.0,34900.0,35200.0,34350.0,268569.0,현대건설
3,2015-11-06,33600.0,35000.0,35050.0,33500.0,587859.0,현대건설
4,2015-11-09,32600.0,33500.0,33500.0,32500.0,655763.0,현대건설
5,2015-11-10,32550.0,32000.0,33200.0,31650.0,521755.0,현대건설
6,2015-11-11,32300.0,32700.0,33200.0,32250.0,342319.0,현대건설
7,2015-11-12,32050.0,32350.0,32450.0,31850.0,271233.0,현대건설
8,2015-11-13,31850.0,31650.0,32500.0,31600.0,296941.0,현대건설
9,2015-11-16,30650.0,31250.0,31350.0,30600.0,650215.0,현대건설
10,2015-11-17,31650.0,31150.0,31650.0,31100.0,415321.0,현대건설
11,2015-11-18,30900.0,31600.0,31600.0,30800.0,465561.0,현대건설
12,2015-11-19,32300.0,31250.0,32750.0,31200.0,505335.0,현대건설
13,2015-11-20,32650.0,32550.0,32800.0,32000.0,273473.0,현대건설
14,2015-11-23,32800.0,33150.0,33450.0,32650.0,300908.0,현대건설
15,2015-11-24,34250.0,32750.0,34350.0,32650.0,753650.0,현대건설
16,2015-11-25,33750.0,33900.0,34000.0,33500.0,318636.0,현대건설
17,2015-11-26,34200.0,34000.0,34450.0,33750.0,301697.0,현대건설
18,2015-11-27,33050.0,34200.0,34250.0,32950.0,508914.0,현대건설
19,2015-11-30,31950.0,32650.0,32800.0,31900.0,643749.0,현대건설
20,2015-12-01,32650.0,32200.0,33150.0,32200.0,335997.0,현대건설
21,2015-12-02,32050.0,32450.0,32700.0,32050.0,361617.0,현대건설
22,2015-12-03,32200.0,31900.0,32200.0,31500.0,251418.0,현대건설
23,2015-12-04,31850.0,31700.0,31950.0,31600.0,270636.0,현대건설
24,2015-12-07,31050.0,31850.0,32050.0,31050.0,490702.0,현대건설
25,2015-12-08,30300.0,30850.0,31250.0,30100.0,685285.0,현대건설
26,2015-12-09,29650.0,30000.0,30300.0,29550.0,670331.0,현대건설
27,2015-12-10,29450.0,29500.0,29800.0,29050.0,712698.0,현대건설
28,2015-12-11,28800.0,29650.0,29650.0,28400.0,976318.0,현대건설
29,2015-12-14,28250.0,28200.0,28650.0,28000.0,522136.0,현대건설
30,2015-12-15,28100.0,28200.0,28600.0,28100.0,531083.0,현대건설
31,2015-12-16,29000.0,28700.0,29300.0,28550.0,557841.0,현대건설
32,2015-12-17,28700.0,29100.0,29350.0,28450.0,533861.0,현대건설
33,2015-12-18,28650.0,28400.0,28950.0,28400.0,304677.0,현대건설
34,2015-12-21,28750.0,28500.0,29000.0,28400.0,350097.0,현대건설
35,2015-12-22,29400.0,29000.0,29600.0,28650.0,611146.0,현대건설
36,2015-12-23,29550.0,29450.0,29900.0,29200.0,553410.0,현대건설
37,2015-12-24,29650.0,29850.0,30150.0,29650.0,598116.0,현대건설
38,2015-12-28,29300.0,29600.0,29750.0,29300.0,581664.0,현대건설
39,2015-12-29,29100.0,29100.0,29600.0,28900.0,483482.0,현대건설
40,2015-12-30,28550.0,29250.0,29500.0,28450.0,480552.0,현대건설
41,2016-01-04,27650.0,28350.0,28750.0,27650.0,426583.0,현대건설
42,2016-01-05,28100.0,27400.0,28200.0,27400.0,439012.0,현대건설
43,2016-01-06,27350.0,28050.0,28350.0,27150.0,659779.0,현대건설
